model_id,fold_dir,final_operational_class,masked_region_note,use_for_contact_statistics
fold_103_grhl2_fulltail__model_4,fold_103_grhl2_fulltail,INTERFACE_EXCLUDE_KEEP_SS,whole model excluded from groove/contact/interface/correlation analyses; retain for global chainH ss only,no
fold_106_hdac1_fulltail__model_0,fold_106_hdac1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_106_hdac1_fulltail__model_1,fold_106_hdac1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_106_hdac1_fulltail__model_2,fold_106_hdac1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_106_hdac1_fulltail__model_3,fold_106_hdac1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_106_hdac1_fulltail__model_4,fold_106_hdac1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_107_hlcs_fulltail__model_0,fold_107_hlcs_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_107_hlcs_fulltail__model_1,fold_107_hlcs_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_107_hlcs_fulltail__model_2,fold_107_hlcs_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_107_hlcs_fulltail__model_3,fold_107_hlcs_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_107_hlcs_fulltail__model_4,fold_107_hlcs_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_121_irf2_fulltail__model_3,fold_121_irf2_fulltail,PARTIAL_CONTACT_MASK,chainH: 1-7,yes
fold_123_jade1_fulltail__model_0,fold_123_jade1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_123_jade1_fulltail__model_1,fold_123_jade1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_123_jade1_fulltail__model_2,fold_123_jade1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_123_jade1_fulltail__model_3,fold_123_jade1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_123_jade1_fulltail__model_4,fold_123_jade1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_124_jade2_fulltail__model_0,fold_124_jade2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_124_jade2_fulltail__model_1,fold_124_jade2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_124_jade2_fulltail__model_2,fold_124_jade2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_124_jade2_fulltail__model_3,fold_124_jade2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_124_jade2_fulltail__model_4,fold_124_jade2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_125_jak2_fulltail__model_0,fold_125_jak2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_125_jak2_fulltail__model_1,fold_125_jak2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_125_jak2_fulltail__model_2,fold_125_jak2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_125_jak2_fulltail__model_3,fold_125_jak2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_125_jak2_fulltail__model_4,fold_125_jak2_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
fold_126_jazf1_fulltail__model_0,fold_126_jazf1_fulltail,FULLY_EXCLUDE_PRIMARY_DATASET,,no
