series,interpeak_interval_length
All interpeak,19.0
All interpeak,16.0
All interpeak,45.0
All interpeak,29.0
All interpeak,51.0
All interpeak,36.0
All interpeak,98.0
All interpeak,23.0
All interpeak,11.0
All interpeak,58.0
All interpeak,46.0
All interpeak,56.0
All interpeak,16.0
All interpeak,15.0
All interpeak,26.0
All interpeak,10.0
All interpeak,9.0
All interpeak,44.0
All interpeak,25.0
All interpeak,7.0
All interpeak,32.0
All interpeak,37.0
All interpeak,58.0
All interpeak,14.0
All interpeak,15.0
All interpeak,11.0
All interpeak,20.0
All interpeak,19.0
All interpeak,41.0
All interpeak,46.0
All interpeak,20.0
All interpeak,9.0
All interpeak,8.0
All interpeak,51.0
All interpeak,58.0
All interpeak,14.0
All interpeak,23.0
All interpeak,29.0
All interpeak,44.0
All interpeak,19.0
All interpeak,13.0
All interpeak,31.0
All interpeak,12.0
All interpeak,7.0
All interpeak,52.0
All interpeak,16.0
All interpeak,62.0
All interpeak,21.0
All interpeak,36.0
All interpeak,68.0
All interpeak,51.0
All interpeak,8.0
All interpeak,16.0
All interpeak,13.0
All interpeak,50.0
All interpeak,35.0
All interpeak,19.0
All interpeak,12.0
All interpeak,12.0
All interpeak,17.0
All interpeak,38.0
All interpeak,10.0
All interpeak,37.0
All interpeak,57.0
All interpeak,25.0
All interpeak,34.0
All interpeak,8.0
All interpeak,21.0
All interpeak,36.0
All interpeak,20.0
All interpeak,10.0
All interpeak,45.0
All interpeak,17.0
All interpeak,35.0
All interpeak,42.0
All interpeak,25.0
All interpeak,59.0
All interpeak,21.0
All interpeak,46.0
All interpeak,37.0
All interpeak,20.0
All interpeak,32.0
All interpeak,7.0
All interpeak,30.0
All interpeak,25.0
All interpeak,17.0
All interpeak,20.0
All interpeak,12.0
All interpeak,17.0
All interpeak,51.0
All interpeak,40.0
All interpeak,96.0
All interpeak,39.0
All interpeak,33.0
All interpeak,13.0
All interpeak,24.0
All interpeak,20.0
All interpeak,46.0
All interpeak,38.0
All interpeak,24.0
All interpeak,6.0
All interpeak,8.0
All interpeak,6.0
All interpeak,134.0
All interpeak,10.0
All interpeak,28.0
All interpeak,61.0
All interpeak,56.0
All interpeak,11.0
All interpeak,91.0
All interpeak,29.0
All interpeak,7.0
All interpeak,39.0
All interpeak,17.0
All interpeak,5.0
All interpeak,33.0
All interpeak,42.0
All interpeak,21.0
All interpeak,54.0
All interpeak,8.0
All interpeak,5.0
All interpeak,19.0
All interpeak,30.0
All interpeak,32.0
All interpeak,36.0
All interpeak,28.0
All interpeak,23.0
All interpeak,39.0
All interpeak,10.0
All interpeak,53.0
All interpeak,13.0
All interpeak,22.0
All interpeak,24.0
All interpeak,19.0
All interpeak,14.0
All interpeak,58.0
All interpeak,49.0
All interpeak,20.0
All interpeak,41.0
All interpeak,27.0
All interpeak,71.0
All interpeak,130.0
All interpeak,11.0
All interpeak,12.0
All interpeak,44.0
All interpeak,43.0
All interpeak,8.0
All interpeak,10.0
All interpeak,28.0
All interpeak,196.0
All interpeak,67.0
All interpeak,11.0
All interpeak,53.0
All interpeak,37.0
All interpeak,41.0
All interpeak,96.0
All interpeak,12.0
All interpeak,51.0
All interpeak,37.0
All interpeak,57.0
All interpeak,15.0
All interpeak,69.0
All interpeak,64.0
All interpeak,34.0
All interpeak,42.0
All interpeak,12.0
All interpeak,66.0
All interpeak,16.0
All interpeak,82.0
All interpeak,58.0
All interpeak,11.0
All interpeak,53.0
All interpeak,8.0
All interpeak,72.0
All interpeak,14.0
All interpeak,9.0
All interpeak,29.0
All interpeak,10.0
All interpeak,15.0
All interpeak,12.0
All interpeak,30.0
All interpeak,19.0
All interpeak,23.0
All interpeak,39.0
All interpeak,22.0
All interpeak,14.0
All interpeak,34.0
All interpeak,36.0
All interpeak,22.0
All interpeak,32.0
All interpeak,7.0
All interpeak,23.0
All interpeak,38.0
All interpeak,49.0
All interpeak,32.0
All interpeak,23.0
All interpeak,10.0
All interpeak,27.0
All interpeak,48.0
All interpeak,18.0
All interpeak,35.0
All interpeak,21.0
All interpeak,11.0
All interpeak,62.0
All interpeak,68.0
All interpeak,28.0
All interpeak,29.0
All interpeak,27.0
All interpeak,76.0
All interpeak,43.0
All interpeak,96.0
All interpeak,104.0
All interpeak,15.0
All interpeak,25.0
All interpeak,34.0
All interpeak,10.0
All interpeak,18.0
All interpeak,16.0
All interpeak,20.0
All interpeak,40.0
All interpeak,74.0
All interpeak,143.0
All interpeak,42.0
All interpeak,7.0
All interpeak,37.0
All interpeak,6.0
All interpeak,38.0
All interpeak,29.0
All interpeak,29.0
All interpeak,13.0
All interpeak,29.0
All interpeak,23.0
All interpeak,24.0
All interpeak,6.0
All interpeak,26.0
All interpeak,34.0
All interpeak,14.0
All interpeak,92.0
All interpeak,38.0
All interpeak,9.0
All interpeak,32.0
All interpeak,33.0
All interpeak,31.0
All interpeak,22.0
All interpeak,57.0
All interpeak,28.0
All interpeak,8.0
All interpeak,52.0
All interpeak,65.0
All interpeak,19.0
All interpeak,23.0
All interpeak,16.0
All interpeak,92.0
All interpeak,41.0
All interpeak,8.0
All interpeak,5.0
All interpeak,18.0
All interpeak,37.0
All interpeak,23.0
All interpeak,26.0
All interpeak,15.0
All interpeak,8.0
All interpeak,55.0
All interpeak,71.0
All interpeak,28.0
All interpeak,33.0
All interpeak,11.0
All interpeak,51.0
All interpeak,12.0
All interpeak,18.0
All interpeak,42.0
All interpeak,29.0
All interpeak,15.0
All interpeak,29.0
All interpeak,21.0
All interpeak,30.0
All interpeak,64.0
All interpeak,41.0
All interpeak,19.0
All interpeak,23.0
All interpeak,94.0
All interpeak,28.0
All interpeak,30.0
GoF-targeted,51.0
GoF-targeted,98.0
GoF-targeted,44.0
GoF-targeted,25.0
GoF-targeted,32.0
GoF-targeted,58.0
GoF-targeted,38.0
GoF-targeted,57.0
GoF-targeted,20.0
GoF-targeted,40.0
GoF-targeted,33.0
GoF-targeted,134.0
GoF-targeted,61.0
GoF-targeted,53.0
GoF-targeted,130.0
GoF-targeted,44.0
GoF-targeted,43.0
GoF-targeted,53.0
GoF-targeted,96.0
GoF-targeted,66.0
GoF-targeted,82.0
GoF-targeted,34.0
GoF-targeted,38.0
GoF-targeted,49.0
GoF-targeted,32.0
GoF-targeted,23.0
GoF-targeted,28.0
GoF-targeted,29.0
GoF-targeted,43.0
GoF-targeted,16.0
GoF-targeted,42.0
GoF-targeted,57.0
GoF-targeted,28.0
GoF-targeted,52.0
GoF-targeted,65.0
GoF-targeted,23.0
GoF-targeted,30.0
GoF-targeted,64.0
GoF-targeted,41.0
GoF +0.5-targeted,51.0
GoF +0.5-targeted,25.0
GoF +0.5-targeted,32.0
GoF +0.5-targeted,38.0
GoF +0.5-targeted,40.0
GoF +0.5-targeted,134.0
GoF +0.5-targeted,130.0
GoF +0.5-targeted,53.0
GoF +0.5-targeted,96.0
GoF +0.5-targeted,66.0
GoF +0.5-targeted,23.0
GoF +0.5-targeted,43.0
GoF +0.5-targeted,52.0
GoF +0.5-targeted,41.0
GoF Q85-targeted,51.0
GoF Q85-targeted,40.0
GoF Q85-targeted,23.0
GoF Q85-targeted,43.0
GoF Q85-targeted,52.0
