contact_decile,n_ADs,helix_fraction,helix_fraction_AD_bootstrap_ci95_low,helix_fraction_AD_bootstrap_ci95_high,top_plddt_fraction,top_plddt_fraction_AD_bootstrap_ci95_low,top_plddt_fraction_AD_bootstrap_ci95_high,mean_relative_plddt,mean_relative_plddt_AD_bootstrap_ci95_low,mean_relative_plddt_AD_bootstrap_ci95_high
1,219,0.07227975931817504,0.048537851100577255,0.09879566290147129,0.169664494232224,0.13677743030269435,0.20392083182897058,0.5005069303943671,0.4732043916586551,0.526568710198354
2,232,0.11131070991240402,0.08496533333931887,0.13885367472417318,0.11371806918713182,0.09162070510013534,0.13676493056326797,0.444533433722216,0.4243628697873475,0.4655506218090018
3,228,0.1524728469095086,0.12552803612305796,0.1805512055649583,0.13476066606545253,0.11364279788763115,0.1572680325497154,0.46433917362953614,0.4470184921385145,0.4814514010520132
4,232,0.17689733071887695,0.1490144291593431,0.2066660998376788,0.1495413203868325,0.1293523057522743,0.16994770803312892,0.46417787389400555,0.44665486984692476,0.4817385514530763
5,234,0.23496967052312218,0.20357703726654902,0.26863092666537575,0.18889170510996456,0.16606597309072627,0.21339433080067477,0.4784220706475689,0.4602395778970418,0.49747353438380226
6,234,0.27562303757323575,0.2441092905624143,0.30662483711162936,0.2009788647579999,0.1788180236028943,0.22370854428222844,0.5032751598225529,0.48691112905827444,0.5200774227930797
7,234,0.316079710810964,0.2861886590760858,0.34835066596952385,0.2409821139130604,0.2171882011808701,0.2643159302178744,0.5219632351410738,0.5043872551272116,0.5392924455651461
8,234,0.34661434902900395,0.3139992281131191,0.38102893051580505,0.2797788781804264,0.25491888010298175,0.30518371080227996,0.5485082767981958,0.5299907291208201,0.5671345680171055
9,234,0.35516454979391227,0.3185146668884251,0.3925794949776758,0.31141520320521127,0.27974932245518974,0.34274474698971813,0.5609428691427475,0.5382997972431284,0.5826925266518505
10,234,0.3166890018702161,0.2772603872817114,0.35795744332416923,0.3105458434849244,0.27057936083952583,0.35047059131069824,0.569982401897265,0.5420719237760891,0.5968139492958062
