series,metric,estimate,gene_cluster_bootstrap_ci95_low,gene_cluster_bootstrap_ci95_high,n_deletions,n_genes
GoF,center_mean_relative_plddt_percentile_minus2_to_plus2,0.5031172543061921,0.46735875518125675,0.5368085065182604,234,108
GoF +0.5,center_mean_relative_plddt_percentile_minus2_to_plus2,0.5272746993414165,0.4648096730562136,0.5903197725009708,101,54
GoF Q85,center_mean_relative_plddt_percentile_minus2_to_plus2,0.48358182541378847,0.39181053260254983,0.5913809493818315,38,24
Neutral,center_mean_relative_plddt_percentile_minus2_to_plus2,0.45683211793222467,0.44282902688693215,0.4702917002928306,1825,219
LoF + Necessary,center_mean_relative_plddt_percentile_minus2_to_plus2,0.583073682089776,0.5644464805751118,0.6024783883997046,1639,208
GoF,deletion_interval_mean_relative_plddt_percentile,0.4953322268471382,0.4628121089142036,0.528289665141189,234,108
GoF +0.5,deletion_interval_mean_relative_plddt_percentile,0.5204882024266168,0.46273970765396455,0.5797863458913882,101,54
GoF Q85,deletion_interval_mean_relative_plddt_percentile,0.47195718103437845,0.3846269210678017,0.5786406013914479,38,24
Neutral,deletion_interval_mean_relative_plddt_percentile,0.4549026155524064,0.4413788687242987,0.4676996100327283,1825,219
LoF + Necessary,deletion_interval_mean_relative_plddt_percentile,0.5796362986418185,0.5615319201586008,0.5979753158949803,1639,208
GoF,deletion_interval_mean_plddt_robust_z,0.08237988404942134,-0.03757020504531594,0.20979407761795518,234,108
GoF +0.5,deletion_interval_mean_plddt_robust_z,0.14904283853197386,-0.06895034374121757,0.3953564540007214,101,54
GoF Q85,deletion_interval_mean_plddt_robust_z,-0.0066942788590657375,-0.3238308525863685,0.38417148378017535,38,24
Neutral,deletion_interval_mean_plddt_robust_z,0.0294812665827012,-0.051666553672270306,0.13032037673166155,1825,219
LoF + Necessary,deletion_interval_mean_plddt_robust_z,0.6369566453153643,0.5166771181357558,0.766449440555475,1639,208
GoF,deletion_interval_fraction_top_relative_plddt_quintile,0.1628205128205128,0.11830271291208791,0.2083006307617661,234,108
GoF +0.5,deletion_interval_fraction_top_relative_plddt_quintile,0.19801980198019803,0.11999999999999998,0.2777804487179487,101,54
GoF Q85,deletion_interval_fraction_top_relative_plddt_quintile,0.15789473684210525,0.07380639097744361,0.26750604838709663,38,24
Neutral,deletion_interval_fraction_top_relative_plddt_quintile,0.13909893455098934,0.12386089990394702,0.1554477046644419,1825,219
LoF + Necessary,deletion_interval_fraction_top_relative_plddt_quintile,0.30091519219035995,0.27753678455903974,0.3259480215653184,1639,208
GoF,deletion_interval_any_top_relative_plddt_quintile,0.31196581196581197,0.2426770551316761,0.3829808682223747,234,108
GoF +0.5,deletion_interval_any_top_relative_plddt_quintile,0.3564356435643564,0.23998958333333334,0.4791666666666667,101,54
GoF Q85,deletion_interval_any_top_relative_plddt_quintile,0.34210526315789475,0.17647058823529413,0.5429220779220769,38,24
Neutral,deletion_interval_any_top_relative_plddt_quintile,0.29205479452054794,0.2651678037477703,0.31861734561494554,1825,219
LoF + Necessary,deletion_interval_any_top_relative_plddt_quintile,0.5143380109823062,0.4816111124283568,0.5476945841073174,1639,208
GoF,deletion_interval_relative_plddt_range,0.3264825001574873,0.30153061891412714,0.35279831962651936,234,108
GoF +0.5,deletion_interval_relative_plddt_range,0.2857111232295266,0.24879519629659005,0.3255774812264324,101,54
GoF Q85,deletion_interval_relative_plddt_range,0.321249175679268,0.2690437812834644,0.37657533669775295,38,24
Neutral,deletion_interval_relative_plddt_range,0.3484071439547439,0.33557807309450094,0.3613792075107548,1825,219
LoF + Necessary,deletion_interval_relative_plddt_range,0.33175226365423877,0.31782338664946086,0.3464442305085498,1639,208
GoF,deletion_interval_crosses_top20_to_bottom50_boundary,0.13247863247863248,0.08713653652709669,0.18433179723502305,234,108
GoF +0.5,deletion_interval_crosses_top20_to_bottom50_boundary,0.12871287128712872,0.052171648550724634,0.22,101,54
GoF Q85,deletion_interval_crosses_top20_to_bottom50_boundary,0.15789473684210525,0.040795918367346945,0.3055555555555556,38,24
Neutral,deletion_interval_crosses_top20_to_bottom50_boundary,0.13917808219178082,0.11823692242996815,0.16074763690167443,1825,219
LoF + Necessary,deletion_interval_crosses_top20_to_bottom50_boundary,0.16168395363026236,0.14060740766505705,0.18414369350911156,1639,208
