series,reference,metric,estimate_difference,gene_cluster_bootstrap_ci95_low,gene_cluster_bootstrap_ci95_high,bootstrap_two_sided_directional_p,n_deletions_group,n_genes_group,q_BH_across_all_28_deletion_contrasts
LoF + Necessary,Neutral,center_mean_relative_plddt_percentile_minus2_to_plus2,0.12624156415755128,0.10334303031652055,0.1503380795910205,0.0003999200159968006,1639,208,0.0022395520895820836
GoF,Neutral,center_mean_relative_plddt_percentile_minus2_to_plus2,0.04628513637396747,0.00814037992303677,0.08260033758721239,0.01879624075184963,234,108,0.07518496300739852
GoF +0.5,Neutral,center_mean_relative_plddt_percentile_minus2_to_plus2,0.0704425814091918,0.006671155933177849,0.1362497267849756,0.027994401119776045,101,54,0.08709369237263659
GoF Q85,Neutral,center_mean_relative_plddt_percentile_minus2_to_plus2,0.0267497074815638,-0.06555624182890096,0.13540789241546286,0.5602879424115177,38,24,0.7844031193761248
LoF + Necessary,Neutral,deletion_interval_mean_relative_plddt_percentile,0.12473368308941213,0.10273332327064831,0.14723499036016485,0.0003999200159968006,1639,208,0.0022395520895820836
GoF,Neutral,deletion_interval_mean_relative_plddt_percentile,0.04042961129473177,0.005458676667532001,0.07629125145884193,0.023195360927814438,234,108,0.08118376324735053
GoF +0.5,Neutral,deletion_interval_mean_relative_plddt_percentile,0.06558558687421034,0.00524428408484246,0.1266911994594236,0.035992801439712056,101,54,0.10077984403119375
GoF Q85,Neutral,deletion_interval_mean_relative_plddt_percentile,0.01705456548197204,-0.06981394851961589,0.12599666815975794,0.6946610677864428,38,24,0.8263014063853896
LoF + Necessary,Neutral,deletion_interval_mean_plddt_robust_z,0.6074753787326631,0.45039145431861366,0.7648120574394549,0.0003999200159968006,1639,208,0.0022395520895820836
GoF,Neutral,deletion_interval_mean_plddt_robust_z,0.052898617466720144,-0.09966491006357395,0.20661743700939225,0.473505298940212,234,108,0.6977972826487334
GoF +0.5,Neutral,deletion_interval_mean_plddt_robust_z,0.11956157194927267,-0.11628597458183766,0.3762345940904128,0.33153369326134774,101,54,0.5318936212757449
GoF Q85,Neutral,deletion_interval_mean_plddt_robust_z,-0.03617554544176694,-0.3642282266466791,0.35902417748599064,0.8662267546490702,38,24,0.8662267546490702
LoF + Necessary,Neutral,deletion_interval_fraction_top_relative_plddt_quintile,0.1618162576393706,0.13299231854307916,0.19058752705593757,0.0003999200159968006,1639,208,0.0022395520895820836
GoF,Neutral,deletion_interval_fraction_top_relative_plddt_quintile,0.023721578269523452,-0.023274500172400986,0.0715677934948194,0.34193161367726455,234,108,0.5318936212757449
GoF +0.5,Neutral,deletion_interval_fraction_top_relative_plddt_quintile,0.058920867429208684,-0.020709567472718984,0.1417852571932172,0.15436912617476506,101,54,0.3087382523495301
GoF Q85,Neutral,deletion_interval_fraction_top_relative_plddt_quintile,0.01879580229111591,-0.0665933311161722,0.12926501655865125,0.708258348330334,38,24,0.8263014063853896
LoF + Necessary,Neutral,deletion_interval_any_top_relative_plddt_quintile,0.2222832164617583,0.18159755086877596,0.2654074461133841,0.0003999200159968006,1639,208,0.0022395520895820836
GoF,Neutral,deletion_interval_any_top_relative_plddt_quintile,0.019911017445264023,-0.056693774909697216,0.0928089284994154,0.6250749850029994,234,108,0.7955499809129083
GoF +0.5,Neutral,deletion_interval_any_top_relative_plddt_quintile,0.06438084904380847,-0.058814397366919215,0.18886185278910084,0.31593681263747253,101,54,0.5318936212757449
GoF Q85,Neutral,deletion_interval_any_top_relative_plddt_quintile,0.0500504686373468,-0.11625919972952442,0.2537861992407037,0.5950809838032394,38,24,0.7934413117376525
LoF + Necessary,Neutral,deletion_interval_relative_plddt_range,-0.01665488030050516,-0.03548186738141543,0.0025289593302578045,0.08918216356728655,1639,208,0.22700914362582028
GoF,Neutral,deletion_interval_relative_plddt_range,-0.021924643797256615,-0.05063921592731832,0.007299040026792744,0.13437312537492502,234,108,0.30061679971697963
GoF +0.5,Neutral,deletion_interval_relative_plddt_range,-0.06269602072521735,-0.10172429235069656,-0.02024414167762936,0.004799040191961607,101,54,0.022395520895820836
GoF Q85,Neutral,deletion_interval_relative_plddt_range,-0.027157968275475952,-0.08071786186185309,0.027704032582382687,0.33353329334133175,38,24,0.5318936212757449
LoF + Necessary,Neutral,deletion_interval_crosses_top20_to_bottom50_boundary,0.02250587143848154,-0.007789532548589823,0.05264372215061012,0.13957208558288342,1639,208,0.30061679971697963
GoF,Neutral,deletion_interval_crosses_top20_to_bottom50_boundary,-0.006699449713148342,-0.05687286149361008,0.04802257332567531,0.7838432313537292,234,108,0.8441388645347854
GoF +0.5,Neutral,deletion_interval_crosses_top20_to_bottom50_boundary,-0.010465210904652106,-0.09047440018129145,0.08444145273951247,0.7790441911617676,101,54,0.8441388645347854
GoF Q85,Neutral,deletion_interval_crosses_top20_to_bottom50_boundary,0.018716654650324432,-0.1002274758185577,0.1686940777974126,0.8346330733853229,38,24,0.8655454094366312
