row_type,definition,category,gene,display_identifier,fold_dir,n_models_usable,n_models_multisubunit,fraction_models_multisubunit,count,denominator,fraction
model_valency_summary,proximity,0,,,,,,,15.0,1139.0,0.013169446883230905
model_valency_summary,proximity,1,,,,,,,138.0,1139.0,0.12115891132572432
model_valency_summary,proximity,2,,,,,,,161.0,1139.0,0.14135206321334504
model_valency_summary,proximity,>=3,,,,,,,825.0,1139.0,0.7243195785776997
model_multisubunit_summary,proximity,>=2,,,,,,,986.0,1139.0,0.8656716417910447
ad_recurrent_ge2_models_summary,proximity,>=2 supporting models,,,,,,,219.0,234.0,0.9358974358974359
ad_fraction_median_summary,proximity,median,,,,,,,,234.0,1.0
model_valency_summary,strict_hydrophobic,0,,,,,,,30.0,1139.0,0.02633889376646181
model_valency_summary,strict_hydrophobic,1,,,,,,,290.0,1139.0,0.2546093064091308
model_valency_summary,strict_hydrophobic,2,,,,,,,367.0,1139.0,0.3222124670763828
model_valency_summary,strict_hydrophobic,>=3,,,,,,,452.0,1139.0,0.3968393327480246
model_multisubunit_summary,strict_hydrophobic,>=2,,,,,,,819.0,1139.0,0.7190517998244074
ad_recurrent_ge2_models_summary,strict_hydrophobic,>=2 supporting models,,,,,,,195.0,234.0,0.8333333333333334
ad_fraction_median_summary,strict_hydrophobic,median,,,,,,,,234.0,0.8
ad_usable_model_denominator_summary,shared,2,,,,,,,1.0,234.0,0.004273504273504274
ad_usable_model_denominator_summary,shared,3,,,,,,,4.0,234.0,0.017094017094017096
ad_usable_model_denominator_summary,shared,4,,,,,,,20.0,234.0,0.08547008547008547
ad_usable_model_denominator_summary,shared,5,,,,,,,209.0,234.0,0.8931623931623932
ad_level_fraction,proximity,>=2 physical Tail subunits,ahr,AHR,fold_3_ahr_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,akap8,AKAP8,fold_4_akap8_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,akap8l,AKAP8L,fold_5_akap8l_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,apbb1,APBB1,fold_6_apbb1_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,apbb3,APBB3,fold_7_apbb3_fulltail,3.0,3.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,apobec4,APOBEC4,fold_8_apobec4_fulltail,5.0,0.0,0.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,argfx,ARGFX,fold_9_argfx_fulltail,4.0,4.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,arntl,ARNTL,fold_10_arntl_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,arntl2,ARNTL2,fold_11_arntl2_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,asxl2,ASXL2,fold_12_asxl2_fulltail,4.0,4.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,asxl3,ASXL3,fold_13_asxl3_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atad5,ATAD5,fold_14_atad5_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atf4,ATF4,fold_15_atf4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atf5,ATF5,fold_16_atf5_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atf6,ATF6,fold_17_atf6_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atf6b,ATF6B,fold_18_atf6b_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,atmin,ATMIN,fold_19_atmin_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,bhlhe23,BHLHE23,fold_20_bhlhe23_fulltail,3.0,2.0,0.6666666666666666,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,brd2,BRD2,fold_21_brd2_fulltail,5.0,0.0,0.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,brd3,BRD3,fold_22_brd3_fulltail,5.0,1.0,0.2,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,brd4,BRD4,fold_23_brd4_fulltail,5.0,0.0,0.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,brd8,BRD8,fold_25_brd8_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,brwd3,BRWD3,fold_26_brwd3_fulltail,5.0,2.0,0.4,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,camta1,CAMTA1,fold_27_camta1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,camta2,CAMTA2,fold_28_camta2_fulltail,4.0,4.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cdca4,CDCA4,fold_30_cdca4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cdx2,CDX2,fold_32_cdx2_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cdx4,CDX4,fold_33_cdx4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cebpa,CEBPA,fold_34_cebpa_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cebpd,CEBPD,fold_35_cebpd_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,chd1l,CHD1L,fold_36_chd1l_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,chd2,CHD2,fold_37_chd2_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,chd9,CHD9,fold_39_chd9_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,chek2,CHEK2,fold_40_chek2_fulltail,4.0,2.0,0.5,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,creb3,CREB3,fold_41_creb3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,creb3l1,CREB3L1,fold_42_creb3l1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,creb3l2,CREB3L2,fold_43_creb3l2_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,creb3l3,CREB3L3,fold_44_creb3l3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,creb3l4,CREB3L4,fold_45_creb3l4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,crebbp,CREBBP,fold_46_crebbp_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,crebzf,CREBZF,fold_47_crebzf_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,crx,CRX,fold_48_crx_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,csrnp1,CSRNP1,fold_49_csrnp1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ctc1,CTC1,fold_50_ctc1_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,cxxc1,CXXC1,fold_51_cxxc1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ddit3,DDIT3,fold_52_ddit3_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,dlx3,DLX3,fold_53_dlx3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,dmrt1,DMRT1,fold_54_dmrt1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,dux4,DUX4,fold_55_dux4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,e2f1,E2F1,fold_56_e2f1_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,e2f2,E2F2,fold_57_e2f2_fulltail,5.0,2.0,0.4,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,e2f3,E2F3,fold_58_e2f3_fulltail,2.0,2.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,egr3,EGR3,fold_62_egr3_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,egr4,EGR4,fold_63_egr4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,elf3,ELF3,fold_64_elf3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,elk1,ELK1,fold_65_elk1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ep300,EP300,fold_67_ep300_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ep400,EP400,fold_68_ep400_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,erg,ERG,fold_71_erg_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,esr1,ESR1,fold_72_esr1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ets1,ETS1,fold_73_ets1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,ets2,ETS2,fold_74_ets2_fulltail,4.0,3.0,0.75,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,etv1,ETV1,fold_75_etv1_fulltail,5.0,1.0,0.2,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,etv2,ETV2,fold_76_etv2_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,etv3,ETV3,fold_77_etv3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,etv4,ETV4,fold_78_etv4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,etv5,ETV5,fold_79_etv5_fulltail,5.0,3.0,0.6,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,eya1,EYA1,fold_81_eya1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,eya2,EYA2,fold_82_eya2_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,eya3,EYA3,fold_83_eya3_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,eya4,EYA4,fold_84_eya4_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,fos,FOS,fold_85_fos_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,foxi1,FOXI1,fold_86_foxi1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,foxj1,FOXJ1,fold_87_foxj1_fulltail,4.0,4.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,foxj3,FOXJ3,fold_88_foxj3_fulltail,5.0,4.0,0.8,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,foxm1,FOXM1,fold_89_foxm1_fulltail,5.0,5.0,1.0,,,
ad_level_fraction,proximity,>=2 physical Tail subunits,foxn1,FOXN1,fold_90_foxn1_fulltail,5.0,4.0,0.8,,,
