fold_dir,model_id,ranking_score,paired_CA_atoms,global_Kabsch_RMSD_A
fold_100_gcm1_fulltail,0,0.84,3328,1.8759531329278778
fold_101_gmeb2_fulltail,0,0.83,3328,1.721990408389477
fold_102_grhl1_fulltail,0,0.83,3328,1.8997597811926945
fold_103_grhl2_fulltail,0,0.82,3328,2.01646323051127
fold_104_grhl3_fulltail,0,0.83,3328,1.934450841885269
fold_105_hbp1_fulltail,0,0.83,3328,1.8352183470128434
fold_106_hdac1_fulltail,0,0.8,3328,1.7336154371338588
fold_107_hlcs_fulltail,0,0.83,3328,1.8075096092819198
fold_108_hlf_fulltail,0,0.84,3328,1.9389968083667941
fold_109_hoxa13_fulltail,0,0.84,3328,1.957006371892844
fold_10_arntl_fulltail,0,0.84,3328,1.7924944903479407
fold_110_hoxa2_fulltail,0,0.83,3328,1.7158186372953856
fold_111_hoxa6_fulltail,0,0.84,3328,1.7665678216139524
fold_112_hoxb13_fulltail,0,0.84,3328,2.092744432921265
fold_113_hoxb2_fulltail,0,0.84,3328,1.8848583262878844
fold_114_hoxb6_fulltail,0,0.84,3328,1.9415307159763868
fold_115_hoxd13_fulltail,0,0.83,3328,1.8992194537181726
fold_116_hsf1_fulltail,0,0.84,3328,1.8680355673250366
fold_117_hsf5_fulltail,0,0.84,3328,1.8836366557751423
fold_118_huwe1_fulltail,0,0.84,3328,1.9912728295888324
fold_119_ino80d_fulltail,0,0.83,3328,1.8659720352052085
fold_11_arntl2_fulltail,0,0.84,3328,2.132938894984289
fold_120_irf1_fulltail,0,0.83,3328,1.9670571889129818
fold_121_irf2_fulltail,0,0.83,3328,2.0640044740411887
fold_122_irx4_fulltail,0,0.84,3328,1.872675697606587
fold_123_jade1_fulltail,0,0.82,3328,1.6506148472217774
fold_124_jade2_fulltail,0,0.82,3328,1.8183538571095623
fold_125_jak2_fulltail,0,0.83,3328,1.9686789648466572
fold_126_jazf1_fulltail,0,0.83,3328,1.7349484438081482
fold_127_jmjd4_fulltail,0,0.82,3328,1.6613459199476222
fold_128_jrkl_fulltail,0,0.83,3328,1.714934343208534
fold_129_kat14_fulltail,0,0.84,3328,1.8724377389746276
fold_12_asxl2_fulltail,0,0.84,3328,1.8584944725360744
fold_130_kat6b_fulltail,0,0.84,3328,1.9187284402444953
fold_131_kdm3b_fulltail,0,0.84,3328,1.8925497364042076
fold_132_kdm5b_fulltail,0,0.83,3328,2.1261925764716993
fold_133_kdm8_fulltail,0,0.81,3328,1.9648223066751782
fold_134_klf15_fulltail,0,0.84,3328,1.8937027771916772
fold_135_klf4_fulltail,0,0.83,3328,1.866312459273939
fold_136_klf5_fulltail,0,0.84,3328,2.118906038048151
fold_137_klf7_fulltail,0,0.83,3328,1.9826866381941646
fold_138_kmt2a_fulltail,0,0.83,3328,2.0094076905066007
fold_139_kmt2c_fulltail,0,0.83,3328,1.9796740446965306
fold_13_asxl3_fulltail,0,0.83,3328,1.9601053984678742
fold_140_kmt2d_fulltail,0,0.83,3328,1.8917148944991422
fold_141_l3mbtl4_fulltail,0,0.84,3328,1.7108622179746351
fold_142_las1l_fulltail,0,0.84,3328,2.184624533898236
fold_143_leutx_fulltail,0,0.84,3328,1.936188501974637
fold_144_lhx1_fulltail,0,0.84,3328,1.8277341664946356
fold_145_lmx1a_fulltail,0,0.83,3328,1.878039137458723
fold_146_mast2_fulltail,0,0.81,3328,1.6849331351785026
fold_147_men1_fulltail,0,0.83,3328,1.7714584314351716
fold_148_mga_fulltail,0,0.83,3328,1.7845307596602664
fold_149_mitf_fulltail,0,0.83,3328,1.7246435314906514
fold_14_atad5_fulltail,0,0.82,3328,1.7752964636351418
fold_150_mlxip_fulltail,0,0.83,3328,1.7724225795184296
fold_151_mlxipl_fulltail,0,0.83,3328,2.0262040770378187
fold_152_msh2_fulltail,0,0.78,3328,1.9528313428305095
fold_153_msl2_fulltail,0,0.83,3328,1.765649935395198
fold_154_mstn_fulltail,0,0.83,3328,2.0329187812913756
fold_155_mterf3_fulltail,0,0.83,3328,1.718660549595633
fold_156_myb_fulltail,0,0.83,3328,1.694452465000226
fold_157_mybl1_fulltail,0,0.83,3328,1.8467198329372643
fold_158_mybl2_fulltail,0,0.83,3328,1.960889300066219
fold_159_myc_fulltail,0,0.83,3328,1.924836626721227
fold_15_atf4_fulltail,0,0.83,3328,2.1713157008300406
fold_160_mycl_fulltail,0,0.84,3328,1.8384899990435941
fold_161_mycn_fulltail,0,0.84,3328,1.704288378494537
fold_162_myod1_fulltail,0,0.83,3328,1.9218956332432042
fold_163_myrfl_fulltail,0,0.83,3328,1.8927094729551357
fold_164_myt1l_fulltail,0,0.84,3328,1.781436188608558
fold_165_nanog_fulltail,0,0.83,3328,1.7551167378669854
fold_166_nanogp8_fulltail,0,0.83,3328,1.9401556120322565
fold_167_nasp_fulltail,0,0.79,3328,1.9101269331062014
fold_168_ncoa1_fulltail,0,0.83,3328,2.051769308425891
fold_169_ncoa2_fulltail,0,0.83,3328,1.9092189045240766
fold_16_atf5_fulltail,0,0.83,3328,1.9976999320896778
fold_170_ncoa3_fulltail,0,0.83,3328,2.098311818962847
fold_171_nek9_fulltail,0,0.8,3328,1.715066080230546
fold_172_neurog3_fulltail,0,0.84,3328,2.001781802646915
fold_173_nfat5_fulltail,0,0.84,3328,2.08106093360091
fold_174_nfatc2_fulltail,0,0.84,3328,1.8169137672234155
fold_175_nfe2_fulltail,0,0.83,3328,1.9606082280637538
fold_176_nfe2l1_fulltail,0,0.82,3328,1.9627380511044856
fold_177_nfe2l2_fulltail,0,0.83,3328,2.0310298218641765
fold_178_nfe2l3_fulltail,0,0.83,3328,1.7975991111223275
fold_179_nfkb1_fulltail,0,0.8,3328,1.8236791064141356
fold_17_atf6_fulltail,0,0.83,3328,1.9340818906460309
fold_180_nfrkb_fulltail,0,0.83,3328,1.6958860677494785
fold_181_nipbl_fulltail,0,0.82,3328,1.7537455148692553
fold_182_nobox_fulltail,0,0.83,3328,1.871591990012606
fold_183_npas4_fulltail,0,0.83,3328,1.6645887021833736
fold_184_nr1h4_fulltail,0,0.83,3328,1.981704949912761
fold_185_nr3c1_fulltail,0,0.84,3328,1.93051720302389
fold_186_nr4a1_fulltail,0,0.83,3328,1.9010787830806197
fold_187_nr4a2_fulltail,0,0.84,3328,2.1154407122716465
fold_188_nr4a3_fulltail,0,0.81,3328,1.6264508516111695
fold_189_oga_fulltail,0,0.83,3328,2.103099772178729
fold_18_atf6b_fulltail,0,0.84,3328,1.895179608170437
fold_190_padi2_fulltail,0,0.82,3328,1.9173071336677021
fold_191_pagr1_fulltail,0,0.83,3328,2.224494189606716
fold_192_parp3_fulltail,0,0.82,3328,1.8283109721406972
fold_193_pax8_fulltail,0,0.84,3328,2.0880705628341576
fold_194_phf1_fulltail,0,0.82,3328,1.826908569522925
fold_195_phf19_fulltail,0,0.84,3328,1.7494877998489604
fold_196_phf20l1_fulltail,0,0.83,3328,1.7386906713488586
fold_197_phip_fulltail,0,0.82,3328,1.8195836621830437
fold_198_phox2a_fulltail,0,0.84,3328,1.8571043349145535
fold_199_plag1_fulltail,0,0.83,3328,1.9107954655749675
fold_19_atmin_fulltail,0,0.83,3328,2.051015061563195
fold_200_plagl1_fulltail,0,0.84,3328,1.9716503136231984
fold_201_plagl2_fulltail,0,0.83,3328,1.8676681244557714
fold_202_plscr1_fulltail,0,0.84,3328,1.8164527902068672
fold_203_pou2af1_fulltail,0,0.84,3328,2.022374948176693
fold_204_pou5f1_fulltail,0,0.84,3328,1.830150291839748
fold_205_pou5f1b_fulltail,0,0.84,3328,1.8105448996659608
fold_206_pparg_fulltail,0,0.84,3328,1.7365718352258985
fold_207_ppargc1a_fulltail,0,0.82,3328,1.962912213317005
